method,k,alpha,rerank,candidate_k,rerank_initial_k,rerank_k,num_questions,hit@5,precision@5,recall@5,ndcg@5,mrr@5,mrr,avg_context_words,latency_ms,chunk_size,chunk_overlap,index_time_sec,num_chunks,avg_chunk_length
300_50,5,0.7,False,30,0,0,35,0.45714285714285713,0.09142857142857143,0.45714285714285713,0.3501183536246046,0.3142857142857143,0.3142857142857143,1117.8285714285714,20.355608228569672,300,50,11.03016954200001,294,209.4795918367347
500_80,5,0.7,False,30,0,0,35,0.6571428571428571,0.13142857142857145,0.6571428571428571,0.448425267584537,0.37952380952380954,0.37952380952380954,1481.7714285714285,23.19737980000046,500,80,9.325868125,195,294.55384615384617
700_100,5,0.7,False,30,0,0,35,0.6571428571428571,0.13142857142857145,0.6571428571428571,0.4609508015375413,0.3961904761904762,0.3961904761904762,1505.857142857143,24.42106788571274,700,100,8.87706,190,300.88947368421054
1000_150,5,0.7,False,30,0,0,35,0.6571428571428571,0.13142857142857145,0.6571428571428571,0.4609508015375413,0.3961904761904762,0.3961904761904762,1505.857142857143,21.581514257145987,1000,150,9.70130841599999,186,305.28494623655916
1500_200,5,0.7,False,30,0,0,35,0.6571428571428571,0.13142857142857145,0.6571428571428571,0.4609508015375413,0.3961904761904762,0.3961904761904762,1505.857142857143,19.074354771432972,1500,200,8.614703875000004,186,305.28494623655916
