method,k,alpha,rerank,candidate_k,rerank_initial_k,rerank_k,num_questions,hit@5,precision@5,recall@5,ndcg@5,mrr@5,mrr,avg_context_words,latency_ms,question_type
hybrid,5,0.7,True,30,30,5,5,0.6,0.12000000000000002,0.6,0.5261859507142915,0.5,0.5,1692.6,1208.4843502000042,comparison
hybrid,5,0.7,True,30,30,5,9,0.5555555555555556,0.1111111111111111,0.5555555555555556,0.4241699294786594,0.38333333333333336,0.38333333333333336,1672.3333333333333,1219.7199906666642,definition
hybrid,5,0.7,True,30,30,5,10,0.3,0.06000000000000001,0.3,0.2261859507142915,0.2,0.2,1700.9,1192.4982291999981,explanation
hybrid,5,0.7,True,30,30,5,10,0.3,0.06000000000000001,0.3,0.1492282869718244,0.1,0.1,1486.3,1278.2445538999978,factual
hybrid,5,0.7,True,30,30,5,1,0.0,0.0,0.0,0.0,0.0,0.0,1754.0,1438.244209000004,multi-hop
