method,k,alpha,rerank,candidate_k,rerank_initial_k,rerank_k,num_questions,hit@5,precision@5,recall@5,ndcg@5,mrr@5,mrr,avg_context_words,latency_ms,chunking_method,index_time_sec,num_chunks,avg_chunk_length
naive,5,0.7,False,30,0,0,35,0.6571428571428571,0.13142857142857145,0.6571428571428571,0.4609508015375413,0.3961904761904762,0.3961904761904762,1500.9714285714285,22.817632200000812,naive,9.131706625000007,190,300.96315789473687
paragraph,5,0.7,False,30,0,0,35,0.6571428571428571,0.13142857142857145,0.6571428571428571,0.4609508015375413,0.3961904761904762,0.3961904761904762,1500.9714285714285,26.000469000001658,paragraph,9.005957874999993,190,300.96315789473687
semantic,5,0.7,False,30,0,0,35,0.6571428571428571,0.13142857142857145,0.6571428571428571,0.4609508015375413,0.3961904761904762,0.3961904761904762,1505.857142857143,19.418852428571295,semantic,8.571069958999999,190,300.88947368421054
