method,k,alpha,rerank,candidate_k,rerank_initial_k,rerank_k,num_questions,hit@5,precision@5,recall@5,ndcg@5,mrr@5,mrr,avg_context_words,latency_ms
no_rerank,5,0.7,False,30,0,0,100,0.83,0.16599999999999995,0.83,0.7030932366021004,0.6601666666666667,0.6601666666666667,191.72,20.599991659999834
rerank_10_to_5,5,0.7,True,30,10,5,100,0.84,0.16799999999999998,0.84,0.7792657370552445,0.7586666666666667,0.7586666666666667,217.66,135.97359043000068
rerank_20_to_5,5,0.7,True,30,20,5,100,0.88,0.17599999999999993,0.88,0.809881800171693,0.7861666666666668,0.7861666666666668,223.13,265.73721460999934
rerank_30_to_5,5,0.7,True,30,30,5,100,0.89,0.17799999999999994,0.89,0.8137503282440384,0.7881666666666667,0.7881666666666667,224.28,378.6633228700006
rerank_50_to_5,5,0.7,True,50,50,5,100,0.88,0.17599999999999993,0.88,0.8087503282440384,0.7848333333333332,0.7848333333333332,228.84,762.3417699999966
