method,k,alpha,rerank,candidate_k,rerank_initial_k,rerank_k,num_questions,hit@5,precision@5,recall@5,ndcg@5,mrr@5,mrr,avg_context_words,latency_ms,question_type
hybrid,5,0.7,True,30,30,5,3,1.0,0.20000000000000004,1.0,1.0,1.0,1.0,249.0,353.58519433333413,comparison
hybrid,5,0.7,True,30,30,5,53,0.9622641509433962,0.19245283018867917,0.9622641509433962,0.8755255602120494,0.8465408805031446,0.8465408805031446,222.60377358490567,392.17556681131947,definition
hybrid,5,0.7,True,30,30,5,16,0.75,0.15000000000000002,0.75,0.7038662191964322,0.6875,0.6875,237.5,354.6659555624991,explanation
hybrid,5,0.7,True,30,30,5,28,0.8214285714285714,0.1642857142857143,0.8214285714285714,0.7396542366436538,0.7125,0.7125,217.25,528.4151100714303,factual
