method,k,alpha,rerank,candidate_k,rerank_initial_k,rerank_k,num_questions,hit@5,precision@5,recall@5,ndcg@5,mrr@5,mrr,avg_context_words,latency_ms
bm25_only,5,0.7,False,30,0,0,100,0.7,0.13999999999999996,0.7,0.6111910977074075,0.5811666666666666,0.5811666666666666,236.79,0.9308645500007628
dense_only,5,0.7,False,30,0,0,100,0.69,0.13799999999999998,0.69,0.5390053184035357,0.49000000000000005,0.49000000000000005,185.27,19.37862048000028
hybrid_minmax,5,0.7,False,30,0,0,100,0.83,0.16599999999999995,0.83,0.7030932366021004,0.6601666666666667,0.6601666666666667,191.72,21.606613779999293
